N,F1,F2,F3
0,0.659,0.000,0.000
2,0.597,0.471,0.497
4,0.567,0.604,0.588
6,0.481,0.560,0.702
8,0.442,0.502,0.663
10,0.442,0.601,0.820
12,0.464,0.670,0.882
14,0.454,0.682,0.895
16,0.434,0.626,0.860
18,0.459,0.853,1.050
20,0.418,0.916,1.050
22,0.401,0.865,1.270
24,0.510,1.130,1.350
